time,open,high,low,close,tick_volume,spread,real_volume
2025-06-26 05:20:00,144.768,144.786,144.687,144.737,522,1,0
2025-06-26 05:30:00,144.738,144.84,144.721,144.738,642,0,0
2025-06-26 05:40:00,144.738,144.781,144.686,144.751,464,0,0
2025-06-26 05:50:00,144.755,144.776,144.669,144.692,651,0,0
2025-06-26 06:00:00,144.692,144.714,144.566,144.63,1167,0,0
2025-06-26 06:10:00,144.629,144.747,144.616,144.67,779,0,0
2025-06-26 06:20:00,144.671,144.695,144.65,144.686,590,0,0
2025-06-26 06:30:00,144.686,144.818,144.678,144.791,616,0,0
2025-06-26 06:40:00,144.792,144.806,144.75,144.763,423,1,0
2025-06-26 06:50:00,144.763,144.8,144.74,144.784,470,1,0
2025-06-26 07:00:00,144.784,144.928,144.78,144.889,700,0,0
2025-06-26 07:10:00,144.889,144.962,144.858,144.865,687,0,0
2025-06-26 07:20:00,144.865,144.892,144.819,144.819,411,0,0
2025-06-26 07:30:00,144.818,144.818,144.761,144.771,284,0,0
2025-06-26 07:40:00,144.771,144.792,144.739,144.745,331,0,0
2025-06-26 07:50:00,144.745,144.803,144.732,144.782,190,1,0
2025-06-26 08:00:00,144.782,144.919,144.781,144.802,592,0,0
2025-06-26 08:10:00,144.801,144.827,144.764,144.802,347,0,0
2025-06-26 08:20:00,144.802,144.811,144.716,144.731,522,0,0
2025-06-26 08:30:00,144.727,144.789,144.713,144.789,431,0,0
2025-06-26 08:40:00,144.782,144.836,144.767,144.8,360,0,0
2025-06-26 08:50:00,144.8,144.818,144.583,144.643,885,0,0
2025-06-26 09:00:00,144.643,144.701,144.587,144.639,1173,0,0
2025-06-26 09:10:00,144.635,144.641,144.383,144.503,1484,0,0
2025-06-26 09:20:00,144.503,144.62,144.503,144.598,1131,0,0
2025-06-26 09:30:00,144.598,144.62,144.422,144.429,999,0,0
2025-06-26 09:40:00,144.429,144.429,144.309,144.366,976,0,0
2025-06-26 09:50:00,144.366,144.399,144.281,144.305,1054,0,0
2025-06-26 10:00:00,144.305,144.305,144.186,144.194,993,0,0
2025-06-26 10:10:00,144.202,144.226,144.064,144.094,1297,0,0
2025-06-26 10:20:00,144.093,144.167,144.032,144.121,919,0,0
2025-06-26 10:30:00,144.121,144.222,144.087,144.194,862,0,0
2025-06-26 10:40:00,144.194,144.224,144.005,144.01,891,0,0
2025-06-26 10:50:00,144.01,144.097,143.929,144.064,1038,0,0
2025-06-26 11:00:00,144.064,144.101,143.851,143.908,1034,0,0
2025-06-26 11:10:00,143.908,143.961,143.782,143.846,1156,0,0
2025-06-26 11:20:00,143.846,143.881,143.79,143.837,1073,0,0
2025-06-26 11:30:00,143.836,143.889,143.751,143.855,1211,0,0
2025-06-26 11:40:00,143.855,143.945,143.839,143.878,1029,0,0
2025-06-26 11:50:00,143.878,143.951,143.873,143.927,882,0,0
2025-06-26 12:00:00,143.927,143.971,143.898,143.94,724,0,0
2025-06-26 12:10:00,143.94,144.04,143.926,144.016,775,0,0
2025-06-26 12:20:00,144.015,144.125,144.009,144.022,980,0,0
2025-06-26 12:30:00,144.022,144.023,143.9,143.927,862,0,0
2025-06-26 12:40:00,143.926,143.971,143.911,143.959,502,0,0
2025-06-26 12:50:00,143.961,144.116,143.957,144.072,563,0,0
2025-06-26 13:00:00,144.071,144.174,144.05,144.137,817,0,0
2025-06-26 13:10:00,144.139,144.151,144.047,144.051,427,0,0
2025-06-26 13:20:00,144.051,144.082,144.004,144.012,529,0,0
2025-06-26 13:30:00,144.011,144.157,144.01,144.143,678,0,0
2025-06-26 13:40:00,144.143,144.192,144.119,144.187,457,0,0
2025-06-26 13:50:00,144.187,144.218,144.133,144.202,574,0,0
2025-06-26 14:00:00,144.202,144.267,144.198,144.251,829,0,0
2025-06-26 14:10:00,144.251,144.319,144.246,144.315,543,0,0
2025-06-26 14:20:00,144.315,144.403,144.306,144.361,620,0,0
2025-06-26 14:30:00,144.361,144.439,144.276,144.414,707,0,0
2025-06-26 14:40:00,144.413,144.442,144.372,144.418,755,1,0
2025-06-26 14:50:00,144.417,144.437,144.366,144.386,795,0,0
